Fixation_AOI_Carousel_position,Fixation_AOI_Movie_position_in_carousel,n_users_tasks,exam_freq,exam_row,inner_freq
1.0,1.0,619,87.1830985915493,682,90.76246334310851
1.0,2.0,502,70.70422535211267,682,73.60703812316716
1.0,3.0,531,74.78873239436619,682,77.85923753665689
1.0,4.0,557,78.45070422535211,682,81.67155425219941
1.0,5.0,562,79.15492957746478,682,82.40469208211144
1.0,6.0,191,26.901408450704224,682,28.005865102639294
1.0,7.0,209,29.43661971830986,682,30.64516129032258
1.0,8.0,209,29.43661971830986,682,30.64516129032258
1.0,9.0,221,31.12676056338028,682,32.40469208211144
1.0,10.0,228,32.11267605633803,682,33.43108504398827
1.0,11.0,160,22.535211267605636,682,23.46041055718475
1.0,12.0,170,23.943661971830984,682,24.926686217008797
1.0,13.0,171,24.084507042253524,682,25.073313782991203
1.0,14.0,195,27.464788732394368,682,28.592375366568916
1.0,15.0,185,26.056338028169012,682,27.126099706744867
2.0,1.0,597,84.08450704225352,671,88.97168405365127
2.0,2.0,510,71.83098591549296,671,76.00596125186289
2.0,3.0,505,71.12676056338029,671,75.26080476900148
2.0,4.0,512,72.11267605633803,671,76.30402384500745
2.0,5.0,508,71.54929577464789,671,75.70789865871834
2.0,6.0,136,19.154929577464788,671,20.268256333830102
2.0,7.0,148,20.845070422535212,671,22.056631892697467
2.0,8.0,159,22.3943661971831,671,23.69597615499255
2.0,9.0,175,24.647887323943664,671,26.08047690014903
2.0,10.0,173,24.366197183098592,671,25.78241430700447
2.0,11.0,120,16.901408450704224,671,17.883755588673623
2.0,12.0,127,17.887323943661972,671,18.926974664679584
2.0,13.0,123,17.323943661971832,671,18.330849478390462
2.0,14.0,146,20.56338028169014,671,21.758569299552907
2.0,15.0,149,20.985915492957748,671,22.205663189269746
3.0,1.0,505,71.12676056338029,608,83.05921052631578
3.0,2.0,476,67.04225352112675,608,78.28947368421053
3.0,3.0,469,66.05633802816901,608,77.13815789473685
3.0,4.0,448,63.098591549295776,608,73.68421052631578
3.0,5.0,451,63.521126760563384,608,74.17763157894737
3.0,6.0,135,19.014084507042252,608,22.203947368421055
3.0,7.0,150,21.12676056338028,608,24.671052631578945
3.0,8.0,147,20.704225352112676,608,24.177631578947366
3.0,9.0,165,23.239436619718308,608,27.138157894736842
3.0,10.0,168,23.661971830985916,608,27.631578947368425
3.0,11.0,122,17.183098591549296,608,20.065789473684212
3.0,12.0,127,17.887323943661972,608,20.888157894736842
3.0,13.0,123,17.323943661971832,608,20.230263157894736
3.0,14.0,139,19.577464788732392,608,22.861842105263158
3.0,15.0,136,19.154929577464788,608,22.36842105263158
4.0,1.0,451,63.521126760563384,542,83.21033210332104
4.0,2.0,423,59.57746478873239,542,78.04428044280442
4.0,3.0,416,58.59154929577465,542,76.75276752767527
4.0,4.0,391,55.07042253521127,542,72.14022140221402
4.0,5.0,379,53.38028169014084,542,69.92619926199262
4.0,6.0,125,17.6056338028169,542,23.062730627306273
4.0,7.0,140,19.718309859154928,542,25.830258302583026
4.0,8.0,129,18.169014084507044,542,23.800738007380073
4.0,9.0,142,20.0,542,26.199261992619927
4.0,10.0,142,20.0,542,26.199261992619927
4.0,11.0,85,11.971830985915492,542,15.682656826568268
4.0,12.0,93,13.098591549295774,542,17.15867158671587
4.0,13.0,100,14.084507042253522,542,18.45018450184502
4.0,14.0,99,13.943661971830986,542,18.265682656826566
4.0,15.0,104,14.647887323943662,542,19.18819188191882
5.0,1.0,432,60.84507042253521,491,87.9837067209776
5.0,2.0,403,56.760563380281695,491,82.07739307535643
5.0,3.0,389,54.7887323943662,491,79.22606924643586
5.0,4.0,375,52.816901408450704,491,76.37474541751527
5.0,5.0,360,50.70422535211267,491,73.31975560081466
5.0,6.0,111,15.63380281690141,491,22.606924643584524
5.0,7.0,132,18.591549295774648,491,26.883910386965375
5.0,8.0,121,17.04225352112676,491,24.643584521384927
5.0,9.0,133,18.732394366197184,491,27.08757637474542
5.0,10.0,138,19.43661971830986,491,28.105906313645622
5.0,11.0,94,13.239436619718308,491,19.144602851323828
5.0,12.0,102,14.366197183098592,491,20.773930753564155
5.0,13.0,99,13.943661971830986,491,20.162932790224033
5.0,14.0,103,14.507042253521126,491,20.977596741344197
5.0,15.0,108,15.211267605633802,491,21.9959266802444
6.0,1.0,399,56.19718309859155,459,86.9281045751634
6.0,2.0,349,49.15492957746479,459,76.03485838779956
6.0,3.0,344,48.45070422535211,459,74.94553376906318
