alpha,beta,spearman,pearson
7.0,6.0,0.9047734614885421,0.8906362779050198
10.0,9.0,0.9046841847264102,0.896979048565108
8.0,7.0,0.904667716287496,0.8933294106838933
6.0,5.0,0.9046523474809663,0.8869057814635959
9.0,8.0,0.9046062516875475,0.895371911935446
10.0,8.0,0.9033265242862879,0.8898995951111002
5.0,4.0,0.9033265242862879,0.8813679603648115
10.0,10.0,0.9024169224096877,0.9016365736651077
9.0,9.0,0.9024169224096877,0.9007267776597367
8.0,8.0,0.9024169224096877,0.89960988556372
7.0,7.0,0.9024169224096877,0.8981976422588607
6.0,6.0,0.9024169224096877,0.8963406869437833
5.0,5.0,0.9024169224096877,0.8937629470798739
4.0,4.0,0.9024169224096877,0.8898865606803781
3.0,3.0,0.9024169224096877,0.8832484807876513
