Fixation_AOI_Carousel_position,Fixation_AOI_Movie_position_in_carousel,discount
1,1,0.5411264469398965
1,2,0.44188457648815965
1,3,0.38685280723454163
1,4,0.3511239768900029
1,5,0.325691595823372
1,6,0.2329491827018396
1,7,0.22838811131369952
1,8,0.22424382421757544
1,9,0.2204559827657751
1,10,0.2169757842742643
1,11,0.1940313874487138
1,12,0.19224728742732727
1,13,0.1905514124267734
1,14,0.1889365644343616
1,15,0.1873963444809099
2,1,0.38685280723454163
2,2,0.3511239768900029
2,3,0.32569159582337204
2,4,0.3064632105049695
2,5,0.29129386088297893
2,6,0.22424382421757544
2,7,0.2204559827657751
2,8,0.2169757842742643
2,9,0.21376328117297766
2,10,0.2107854223023103
2,11,0.1905514124267734
2,12,0.1889365644343616
2,13,0.1873963444809099
2,14,0.18592504210208438
2,15,0.18451754291603215
3,1,0.32569159582337204
3,2,0.3064632105049695
3,3,0.291293860882979
3,4,0.27894294565112987
3,5,0.26863912079414765
3,6,0.2169757842742643
3,7,0.21376328117297766
3,8,0.2107854223023103
3,9,0.20801459767650948
3,10,0.20542754090948737
3,11,0.1873963444809099
3,12,0.18592504210208438
3,13,0.18451754291603215
3,14,0.18316925091363362
3,15,0.18187602277406256
4,1,0.27894294565112987
4,2,0.26863912079414765
4,3,0.2598754687917054
4,4,0.25230390529133084
4,5,0.24567674476437232
4,6,0.20801459767650948
4,7,0.20542754090948737
4,8,0.20300449006002788
4,9,0.20072853807501817
4,10,0.19858512429167388
4,11,0.18316925091363362
4,12,0.18187602277406256
4,13,0.18063411206865632
4,14,0.1794401216422092
4,15,0.17829096279319676
5,1,0.2523039052913308
5,2,0.24567674476437232
5,3,0.23981246656813146
5,4,0.23457469605019834
5,5,0.22985878238866547
5,6,0.20072853807501817
5,7,0.19858512429167388
5,8,0.1965616322328226
5,9,0.19464706844037086
5,10,0.1928318037617308
5,11,0.1794401216422092
5,12,0.17829096279319676
5,13,0.17718382013555792
5,14,0.17611612123114928
5,15,0.17508551024630453
6,1,0.23457469605019834
6,2,0.22985878238866547
6,3,0.22558293639202617
6,4,0.22168220833932292
6,5,0.21810429198553155
6,6,0.19464706844037086
6,7,0.1928318037617308
6,8,0.19110736324771838
6,9,0.1894662542387231
6,10,0.18790182470910757
6,11,0.17611612123114928
6,12,0.17508551024630453
6,13,0.174089825017468
6,14,0.17312707701676738
6,15,0.17219543379409813
7,1,0.22168220833932292
7,2,0.21810429198553155
7,3,0.2148065359644434
7,4,0.21175377330787643
7,5,0.20891671751594673
7,6,0.1894662542387231
7,7,0.18790182470910757
7,8,0.18640814577873707
7,9,0.18497991367119943
7,10,0.18361236742992487
7,11,0.17312707701676738
7,12,0.17219543379409813
7,13,0.17129320354202002
7,14,0.17041882148676776
7,15,0.1695708378554925
8,1,0.21175377330787648
8,2,0.20891671751594673
8,3,0.206270758681365
8,4,0.2037950470905062
8,5,0.20147178670071772
8,6,0.18497991367119943
8,7,0.18361236742992487
8,8,0.18230121948702913
8,9,0.1810425967800402
8,10,0.17983299057531102
8,11,0.17041882148676776
8,12,0.1695708378554925
8,13,0.1687479072084746
8,14,0.16794877895704194
8,15,0.16717228891454666
9,1,0.2037950470905062
9,2,0.20147178670071772
9,3,0.1992856840610174
9,4,0.1972235138826836
9,5,0.19527377320760847
9,6,0.1810425967800402
9,7,0.17983299057531102
9,8,0.17866921351771733
9,9,0.17754836270902138
9,10,0.17646778784041486
9,11,0.16794877895704194
9,12,0.16717228891454666
9,13,0.16641735174997763
9,14,0.16568295423241752
9,15,0.16496814917022493
10,1,0.1972235138826836
10,2,0.19527377320760847
10,3,0.19342640361727081
10,4,0.19167256623153403
10,5,0.1900044580539989
10,6,0.17754836270902136
10,7,0.17646778784041486
10,8,0.17542506358195453
10,9,0.1744179655731757
10,10,0.17344444947293422
10,11,0.16568295423241752
10,12,0.16496814917022493
10,13,0.16427204996205025
10,14,0.16359382568799777
10,15,0.1629326966787651
