Fixation_AOI_Carousel_position,Fixation_AOI_Movie_position_in_carousel,n_users_tasks,exam_freq,exam_row,inner_freq
1.0,1.0,1538,0.9237237237237237,1645,0.9349544072948328
1.0,2.0,1378,0.8276276276276276,1645,0.8376899696048632
1.0,3.0,1364,0.8192192192192193,1645,0.8291793313069908
1.0,4.0,1395,0.8378378378378378,1645,0.8480243161094225
1.0,5.0,1433,0.8606606606606607,1645,0.8711246200607903
1.0,6.0,593,0.35615615615615615,1645,0.36048632218844984
1.0,7.0,634,0.38078078078078076,1645,0.38541033434650457
1.0,8.0,631,0.378978978978979,1645,0.38358662613981764
1.0,9.0,654,0.3927927927927928,1645,0.39756838905775077
1.0,10.0,664,0.3987987987987988,1645,0.40364741641337387
1.0,11.0,493,0.2960960960960961,1645,0.2996960486322188
1.0,12.0,514,0.3087087087087087,1645,0.31246200607902735
1.0,13.0,526,0.3159159159159159,1645,0.31975683890577505
1.0,14.0,548,0.3291291291291291,1645,0.3331306990881459
1.0,15.0,567,0.34054054054054056,1645,0.3446808510638298
2.0,1.0,1410,0.8468468468468469,1602,0.8801498127340824
2.0,2.0,1298,0.7795795795795796,1602,0.8102372034956304
2.0,3.0,1269,0.7621621621621621,1602,0.7921348314606742
2.0,4.0,1218,0.7315315315315315,1602,0.7602996254681648
2.0,5.0,1270,0.7627627627627628,1602,0.7927590511860175
2.0,6.0,457,0.2744744744744745,1602,0.2852684144818976
2.0,7.0,512,0.3075075075075075,1602,0.3196004993757803
2.0,8.0,509,0.3057057057057057,1602,0.3177278401997503
2.0,9.0,527,0.3165165165165165,1602,0.3289637952559301
2.0,10.0,525,0.3153153153153153,1602,0.32771535580524347
2.0,11.0,391,0.23483483483483483,1602,0.24406991260923847
2.0,12.0,423,0.25405405405405407,1602,0.2640449438202247
2.0,13.0,431,0.25885885885885884,1602,0.2690387016229713
2.0,14.0,446,0.26786786786786787,1602,0.2784019975031211
2.0,15.0,444,0.26666666666666666,1602,0.27715355805243447
3.0,1.0,1298,0.7795795795795796,1464,0.8866120218579235
3.0,2.0,1208,0.7255255255255255,1464,0.825136612021858
3.0,3.0,1163,0.6984984984984985,1464,0.7943989071038251
3.0,4.0,1104,0.6630630630630631,1464,0.7540983606557377
3.0,5.0,1091,0.6552552552552553,1464,0.7452185792349727
3.0,6.0,365,0.21921921921921922,1464,0.24931693989071038
3.0,7.0,416,0.24984984984984984,1464,0.28415300546448086
3.0,8.0,420,0.25225225225225223,1464,0.28688524590163933
3.0,9.0,435,0.26126126126126126,1464,0.29713114754098363
3.0,10.0,428,0.25705705705705706,1464,0.2923497267759563
3.0,11.0,312,0.1873873873873874,1464,0.21311475409836064
3.0,12.0,315,0.1891891891891892,1464,0.2151639344262295
3.0,13.0,333,0.2,1464,0.22745901639344263
3.0,14.0,360,0.21621621621621623,1464,0.2459016393442623
3.0,15.0,358,0.21501501501501502,1464,0.24453551912568305
4.0,1.0,1198,0.7195195195195195,1341,0.8933631618195377
4.0,2.0,1088,0.6534534534534534,1341,0.8113348247576435
4.0,3.0,1080,0.6486486486486487,1341,0.8053691275167785
4.0,4.0,1012,0.6078078078078079,1341,0.7546607009694258
4.0,5.0,999,0.6,1341,0.7449664429530202
4.0,6.0,336,0.2018018018018018,1341,0.2505592841163311
4.0,7.0,372,0.22342342342342342,1341,0.27740492170022374
4.0,8.0,370,0.2222222222222222,1341,0.2759134973900075
4.0,9.0,382,0.22942942942942943,1341,0.284862043251305
4.0,10.0,378,0.22702702702702704,1341,0.28187919463087246
4.0,11.0,290,0.17417417417417416,1341,0.2162565249813572
4.0,12.0,307,0.1843843843843844,1341,0.22893363161819538
4.0,13.0,310,0.18618618618618618,1341,0.23117076808351977
4.0,14.0,319,0.1915915915915916,1341,0.23788217747949292
4.0,15.0,322,0.1933933933933934,1341,0.2401193139448173
5.0,1.0,1082,0.6498498498498498,1213,0.8920032976092334
5.0,2.0,989,0.593993993993994,1213,0.8153338829348722
5.0,3.0,946,0.5681681681681682,1213,0.7798845836768343
5.0,4.0,916,0.5501501501501501,1213,0.7551525144270403
5.0,5.0,866,0.5201201201201201,1213,0.7139323990107173
5.0,6.0,306,0.1837837837837838,1213,0.2522671063478978
5.0,7.0,342,0.20540540540540542,1213,0.28194558944765047
5.0,8.0,337,0.2024024024024024,1213,0.27782357790601814
5.0,9.0,347,0.2084084084084084,1213,0.28606760098928274
5.0,10.0,348,0.209009009009009,1213,0.2868920032976092
5.0,11.0,267,0.16036036036036036,1213,0.2201154163231657
5.0,12.0,274,0.16456456456456456,1213,0.22588623248145095
5.0,13.0,284,0.17057057057057057,1213,0.2341302555647156
5.0,14.0,297,0.1783783783783784,1213,0.2448474855729596
5.0,15.0,295,0.17717717717717718,1213,0.24319868095630667
6.0,1.0,964,0.578978978978979,1108,0.8700361010830325
6.0,2.0,877,0.5267267267267267,1108,0.7915162454873647
