Fixation_AOI_Carousel_position,Fixation_AOI_Movie_position_in_carousel,discount
1,1,0.27023815442731974
1,2,0.22424382421757544
1,3,0.20184908658209985
1,4,0.18790182470910757
1,5,0.1781035935540111
1,6,0.09916716589075354
1,7,0.10141369226444626
1,8,0.10403449761563388
1,9,0.10715305686940425
1,10,0.11095973178141809
1,11,0.091305714341491
1,12,0.09256137207653357
1,13,0.09394606855331357
1,14,0.09548495817278907
1,15,0.0972107902119349
2,1,0.23241801501231474
2,2,0.20210875087569502
2,3,0.185211070799097
2,4,0.17401078836795192
2,5,0.16585425854564267
2,6,0.09335254524419695
2,7,0.09535599427968551
2,8,0.09767589740531554
2,9,0.1004106328277341
2,10,0.1037083710059734
2,11,0.08624456655080712
2,12,0.08738921677267926
2,13,0.08864759153677342
2,14,0.0900410777514138
2,15,0.09159727419056088
3,1,0.20547239944900006
3,2,0.18392502999918184
3,3,0.1707533244639752
3,4,0.16159463915531483
3,5,0.1547260445179569
3,6,0.08791780648484117
3,7,0.0897095508681489
3,8,0.09177031758616772
3,9,0.0941791741177328
3,10,0.09705273819276758
3,11,0.0814794023815167
3,12,0.08252415864457459
3,13,0.08366937465138358
3,14,0.08493329840391318
3,15,0.08633928383826307
4,1,0.18462565698908767
4,2,0.16852702943561626
4,3,0.15800463832087194
4,4,0.15040506388857824
4,5,0.144564655488911
4,6,0.08283298736417381
4,7,0.08443956205568919
4,8,0.0862759733212515
4,9,0.08840627113516844
4,10,0.09092315503449754
4,11,0.07699123910166468
4,12,0.07794593860245619
4,13,0.07898957342880791
4,14,0.08013776504520286
4,15,0.08141035131927744
5,1,0.16766353158172673
5,2,0.15520531636793458
5,3,0.14663664075766775
5,4,0.14025425704675412
5,5,0.1352468456406702
5,6,0.07807122536858105
5,7,0.07951520672953909
5,8,0.08115643969755423
5,9,0.0830471824059199
5,10,0.08526178253154085
5,11,0.07276250830953813
5,12,0.07363588056486191
5,13,0.07458814729380313
5,14,0.0756327232142857
5,15,0.07678652006111826
6,1,0.153394227173988
6,2,0.14349691919680355
6,3,0.1364109513746489
6,4,0.13099632115672968
6,5,0.1266723155444509
6,6,0.07360832800357638
6,7,0.07490902857985277
6,8,0.07637972263622127
6,9,0.07806332768540683
6,10,0.0800199560603526
6,11,0.06877692593337052
6,12,0.06957673596603901
6,13,0.07044666878206748
6,14,0.07139827795733909
6,15,0.07244602931519886
7,1,0.14110729841157726
7,2,0.13308294475069926
7,3,0.12714861677009268
7,4,0.12251531510416663
7,5,0.1187581140034778
7,6,0.06942241889916874
7,7,0.07059644152377575
7,8,0.07191753031042822
7,9,0.07342114423138303
7,10,0.0751562438748707
7,11,0.06501937735050764
7,12,0.06575254773625955
7,13,0.06654815860701323
7,14,0.06741618821975465
7,15,0.0683690494451158
8,1,0.13034634017398233
8,2,0.1237340698650268
8,3,0.11871148567640977
8,4,0.11471729919427553
8,5,0.11143467095279644
8,6,0.0654936438004665
8,7,0.06655532720804055
8,8,0.0677446946104111
8,9,0.06909120527479205
8,10,0.07063500490371248
8,11,0.06147581545534009
8,12,0.06214853075569495
8,13,0.06287694229250075
8,14,0.06366969039972976
8,15,0.06453745812838417
9,1,0.12080083346228628
9,2,0.11527947871086251
9,3,0.11099035678098294
9,4,0.1075248777147174
9,5,0.10464292230686953
9,6,0.06180392431805744
9,7,0.0627657042876813
9,8,0.06383870644770583
9,9,0.06504753101255127
9,10,0.06642529859181392
9,11,0.05813316987261827
9,12,0.058750966323346664
9,13,0.05941852491348969
9,14,0.06014334602539707
9,15,0.06093464983284248
10,1,0.11224968470724718
10,2,0.10758816224375337
10,3,0.10389715514173768
10,4,0.10087335494346077
10,5,0.09833218413486217
10,6,0.0583367501145352
10,7,0.05920945425167354
10,8,0.0601793385259793
10,9,0.06126704314993478
10,10,0.06250004776670981
10,11,0.054979265809616255
10,12,0.055547108613381094
10,13,0.05615948113316811
10,14,0.05682290952516025
10,15,0.05754537256820848
