alpha,beta,spearman,pearson
10.0,9.0,0.9331983898331513,0.905593657725862
9.0,8.0,0.9330495171737807,0.9039251855532988
8.0,7.0,0.9328862998569406,0.9018084424885746
7.0,6.0,0.9326349514528584,0.8990228101991246
10.0,10.0,0.9321961333390514,0.9103502275710172
9.0,9.0,0.9321961333390514,0.909391481695521
8.0,8.0,0.9321961333390514,0.9082163981389814
7.0,7.0,0.9321961333390514,0.9067332780838545
6.0,6.0,0.9321961333390514,0.9047871917340563
5.0,5.0,0.9321961333390514,0.9020923251492062
4.0,4.0,0.9321961333390514,0.8980517974886045
3.0,3.0,0.9321961333390514,0.8911587208695629
2.0,2.0,0.9321961333390514,0.8760975197772484
1.0,1.0,0.9321961333390514,0.8095356859017349
6.0,5.0,0.9321265601272507,0.8951724999893756
